Species_CN,Species_LT,Nt_ex,Genus,Family
ºì±ßÖñ½¶,Dracaena marginata cv.¡°Rainbow¡±,ex,Dracaena,Asparagaceae
Öì½¶,Cordyline fruticosa,ex,Cordyline,Asparagaceae
°«×ØÖñ,Rhapis humilis,ex,Rhapis,Arecaceae
É¢Î²¿û,Chrysalidocarpus lutescens,ex,Chrysalidocarpus,Arecaceae
ĞäÕäÒ¬×Ó,Chamaedorea elegans,ex,Chamaedorea,Arecaceae
»¨Ò¶³£´ºÌÙ,Hedera canariensis,ex,Hedera,Araliaceae
Ñó³£´ºÌÙ,Hedera helix,ex,Hedera,Araliaceae
°Ë½Ç½ğÅÌ,Fatsia japonica,nt,Fatsia,Araliaceae
ÈıÁÑÊ÷²Î,Dendropanax trifidus,nt,Dendropanax,Araliaceae
Ìú¶¬Çà,Ilex rotunda,nt,Ilex,Aquifoliaceae
³İÒ¶¶¬Çà,Ilex crenata,nt,Ilex,Aquifoliaceae
´óÒ¶¶¬Çà,Ilex latifolia,nt,Ilex,Aquifoliaceae
Æ®ÏãÌÙ,Mandevilla sanderi,ex,Mandevilla,Apocynaceae
ÑÎ·ôÄ¾,Rhus javanica,ex,Rhus,Anacardiaceae
»ÆèÓ,Cotinus coggygria,ex,Cotinus,Anacardiaceae
÷è÷ëÍÂÖé,Justicia brandegeeana,ex,Justicia,Acanthaceae
