Plot_ID,Ward,Landuse_subclass,Landuse_class,Landuse_agg,Dist
71,Sakyo-ku,R low I,R low,Res,5183.800499
94,Kita-ku,R low I,R low,Res,5380.996084
121,Kita-ku,R low I,R low,Res,6081.434796
63,Sakyo-ku,R low I,R low,Res,7595.860856
67,Sakyo-ku,R low I,R low,Res,7578.253734
83,Sakyo-ku,R low I,R low,Res,6732.207335
98,Sakyo-ku,R low I,R low,Res,7502.628129
110,Sakyo-ku,R low I,R low,Res,6771.43655
118,Sakyo-ku,R low I,R low,Res,7367.649035
6,Nishikyo-ku,R low II,R low,Res,10108.04536
103,Nishikyo-ku,R low I,R low,Res,10433.57963
73,Ukyo-ku,R low I,R low,Res,6659.182075
76,Nishikyo-ku,R low I,R low,Res,7579.387776
81,Ukyo-ku,R low I,R low,Res,9108.358392
86,Ukyo-ku,R low I,R low,Res,9114.894243
119,Ukyo-ku,R low I,R low,Res,7471.864229
125,Ukyo-ku,R low I,R low,Res,9111.922342
84,Nishikyo-ku,R low I,R low,Res,9008.43729
65,Yamashina-ku,R low I,R low,Res,4795.488205
74,Yamashina-ku,R low I,R low,Res,6428.981114
89,Fushimi-ku,R low I,R low,Res,6710.640914
109,Fushimi-ku,R low I,R low,Res,6551.888586
122,Fushimi-ku,R low I,R low,Res,7690.246014
78,Kita-ku,R low I,R low,Res,7921.000874
92,Kita-ku,R low I,R low,Res,7004.668532
105,Kita-ku,R low I,R low,Res,7754.963672
112,Kita-ku,R low I,R low,Res,6015.076915
7,Fushimi-ku,R low II,R low,Res,6377.239043
75,Fushimi-ku,R low I,R low,Res,6884.212095
93,Fushimi-ku,R low I,R low,Res,8003.425088
96,Fushimi-ku,R low I,R low,Res,6922.357398
102,Fushimi-ku,R low I,R low,Res,7547.824407
69,Kita-ku,R low I,R low,Res,5563.131463
1,Kita-ku,R low II,R low,Res,5022.910682
3,Kita-ku,R low II,R low,Res,5042.600529
4,Kita-ku,R low II,R low,Res,4983.748882
5,Kita-ku,R low II,R low,Res,4830.28309
8,Fushimi-ku,R low II,R low,Res,6373.579782
9,Fushimi-ku,R low II,R low,Res,7095.008361
10,Fushimi-ku,R low II,R low,Res,6962.230976
11,Kita-ku,R low II,R low,Res,4979.36964
44,Sakyo-ku,R resi II,R resi,Res,2355.527279
194,Sakyo-ku,R resi I,R resi,Res,2655.463745
181,Shimogyo-ku,R resi I,R resi,Res,2615.422665
51,Ukyo-ku,R resi II,R resi,Res,5188.853187
178,Fushimi-ku,R resi I,R resi,Res,4910.858495
34,Minami-ku,R resi II,R resi,Res,3212.939984
35,Minami-ku,R resi II,R resi,Res,2888.177535
38,Fushimi-ku,R resi II,R resi,Res,11205.15515
180,Fushimi-ku,R resi I,R resi,Res,9142.321807
205,Kita-ku,R resi I,R resi,Res,8047.074035
352,Fushimi-ku,R quasi,R resi,Res,10891.12894
353,Minami-ku,R quasi,R resi,Res,4891.003119
207,Yamashina-ku,R resi I,R resi,Res,6367.15746
192,Ukyo-ku,R resi I,R resi,Res,6260.096991
184,Sakyo-ku,R resi I,R resi,Res,4463.643315
212,Sakyo-ku,R resi I,R resi,Res,3369.977523
48,Sakyo-ku,R resi II,R resi,Res,1952.118793
53,Sakyo-ku,R resi II,R resi,Res,1908.555353
60,Sakyo-ku,R resi II,R resi,Res,1707.053051
54,Sakyo-ku,R resi II,R resi,Res,1266.776482
177,Sakyo-ku,R resi I,R resi,Res,2597.71179
191,Sakyo-ku,R resi I,R resi,Res,3190.370274
208,Kamigyo-ku,R resi I,R resi,Res,3968.266927
46,Higashiyama-ku,R resi II,R resi,Res,1382.867604
58,Higashiyama-ku,R resi II,R resi,Res,1332.746324
36,Yamashina-ku,R resi II,R resi,Res,5529.482912
196,Sakyo-ku,R resi I,R resi,Res,5248.884609
47,Kamigyo-ku,R resi II,R resi,Res,2726.082027
52,Kamigyo-ku,R resi II,R resi,Res,2506.885282
55,Kamigyo-ku,R resi II,R resi,Res,2648.380027
189,Kamigyo-ku,R resi I,R resi,Res,3955.69875
198,Kamigyo-ku,R resi I,R resi,Res,2491.186743
188,Ukyo-ku,R resi I,R resi,Res,4441.804781
179,Minami-ku,R resi I,R resi,Res,7093.824679
183,Minami-ku,R resi I,R resi,Res,5857.658827
186,Minami-ku,R resi I,R resi,Res,5662.665975
204,Minami-ku,R resi I,R resi,Res,6364.899724
206,Nishikyo-ku,R resi I,R resi,Res,6338.762909
209,Nishikyo-ku,R resi I,R resi,Res,6464.234541
175,Ukyo-ku,R resi I,R resi,Res,4328.754867
203,Ukyo-ku,R resi I,R resi,Res,5108.458661
210,Ukyo-ku,R resi I,R resi,Res,6275.026783
176,Fushimi-ku,R resi I,R resi,Res,5477.167693
185,Fushimi-ku,R resi I,R resi,Res,5519.029831
45,Minami-ku,R resi II,R resi,Res,2997.441048
187,Shimogyo-ku,R resi I,R resi,Res,2193.363103
201,Fushimi-ku,R resi I,R resi,Res,3836.755863
57,Yamashina-ku,R resi II,R resi,Res,6108.222636
195,Yamashina-ku,R resi I,R resi,Res,6145.428566
214,Yamashina-ku,R resi I,R resi,Res,5010.383686
349,Fushimi-ku,R quasi,R resi,Res,7518.23705
193,Kita-ku,R resi I,R resi,Res,5576.811995
350,Fushimi-ku,R quasi,R resi,Res,8919.355352
37,Minami-ku,R resi II,R resi,Res,6778.521995
43,Minami-ku,R resi II,R resi,Res,6569.838368
50,Fushimi-ku,R resi II,R resi,Res,6354.806849
199,Fushimi-ku,R resi I,R resi,Res,6682.149205
213,Fushimi-ku,R resi I,R resi,Res,6687.300227
202,Fushimi-ku,R resi I,R resi,Res,8580.090917
197,Kamigyo-ku,R resi I,R resi,Res,2271.65049
33,Yamashina-ku,R resi II,R resi,Res,5065.590739
39,Ukyo-ku,R resi II,R resi,Res,7081.339347
40,Nishikyo-ku,R resi II,R resi,Res,6044.767074
41,Minami-ku,R resi II,R resi,Res,6450.328525
42,Fushimi-ku,R resi II,R resi,Res,8445.098299
49,Ukyo-ku,R resi II,R resi,Res,6721.751839
56,Fushimi-ku,R resi II,R resi,Res,4756.677332
59,Fushimi-ku,R resi II,R resi,Res,7321.045964
182,Minami-ku,R resi I,R resi,Res,6614.447299
190,Fushimi-ku,R resi I,R resi,Res,4403.240206
200,Fushimi-ku,R resi I,R resi,Res,9228.427239
211,Fushimi-ku,R resi I,R resi,Res,4992.031503
346,Fushimi-ku,R quasi,R resi,Res,6151.527858
347,Fushimi-ku,R quasi,R resi,Res,7377.298547
348,Fushimi-ku,R quasi,R resi,Res,6079.566555
351,Fushimi-ku,R quasi,R resi,Res,8956.818313
354,Minami-ku,R quasi,R resi,Res,4831.114306
355,Minami-ku,R quasi,R resi,Res,6660.593825
356,Nishikyo-ku,R quasi,R resi,Res,9871.052152
