"","MDS1","MDS2","Plot_ID","Plot_pub_pri","Ward","Landuse_subclass","Landuse_class","Landuse_agg","Dist","Dist_level","Plot_pub_pri_level"
"44",0.0620091967950427,0.0666303159672019,105,0,"Kita-ku","R low I","R low","Res",7754.963672,"Mid_Sub","Private area"
"45",-0.0258374069365131,0.0345544411774575,109,0,"Fushimi-ku","R low I","R low","Res",6551.888586,"Mid_Sub","Private area"
"46",-0.0690363142166713,0.170591592359757,110,0,"Saky身-ku","R low I","R low","Res",6771.43655,"Mid_Sub","Private area"
"47",-0.0290500412297864,-0.0334147388019108,111,0,"Saky身-ku","R low I","R low","Res",4478.214323,"Cen-Mid","Private area"
"48",0.00117971390289989,-0.0107017696794237,115,0,"Saky身-ku","R low I","R low","Res",4740.19391,"Cen-Mid","Private area"
"49",-0.0875284905626008,0.0319120485418026,118,0,"Saky身-ku","R low I","R low","Res",7367.649035,"Mid_Sub","Private area"
"50",-0.13657881434365,0.00778924909079321,119,0,"Uky身-ku","R low I","R low","Res",7471.864229,"Mid_Sub","Private area"
"51",-0.00933549635260278,-0.0052080344872539,121,0,"Kita-ku","R low I","R low","Res",6081.434796,"Mid_Sub","Private area"
"52",0.0313142380015036,0.13192676677501,125,0,"Uky身-ku","R low I","R low","Res",9111.922342,"Suburban","Private area"
"53",-0.0441488069551931,-0.0891501742196135,127,0,"Yamashina-ku","R high I","R high","Res",5556.215599,"Cen-Mid","Private area"
"54",0.0348529437023505,-0.0475508563042987,128,0,"Yamashina-ku","R high I","R high","Res",4433.976305,"Cen-Mid","Private area"
"55",0.0575368599594271,0.0183673650826663,129,0.2,"Nishiky身-ku","R high I","R high","Res",10110.16686,"Suburban","Mix area"
"56",-0.131357491346651,-0.00897863866278104,135,0,"Uky身-ku","R high I","R high","Res",5821.229379,"Cen-Mid","Private area"
"57",-0.0250842588330954,0.0246919177732929,143,0,"Nishiky身-ku","R high I","R high","Res",9393.641569,"Suburban","Private area"
"58",0.0333417224161873,-0.110241861389242,144,0,"Nishiky身-ku","R high I","R high","Res",9867.541995,"Suburban","Private area"
"59",-0.127377719205744,0.0101997913891693,147,0,"Saky身-ku","R high I","R high","Res",3262.822952,"Cen-Mid","Private area"
"60",-0.0629232385960394,0.0528344419304281,152,0,"Uky身-ku","R high I","R high","Res",7628.994187,"Mid_Sub","Private area"
"61",0.225028514466765,0.108119710107542,153,0,"Nishiky身-ku","R high I","R high","Res",9269.726634,"Suburban","Private area"
"62",-0.110398786414235,0.0677958304169511,155,0,"Kita-ku","R high I","R high","Res",5919.749016,"Cen-Mid","Private area"
"63",-0.213931489879477,0.0868246378276315,156,0,"Nishiky身-ku","R high I","R high","Res",9389.755468,"Suburban","Private area"
"64",0.100680324279778,-0.0112550300410917,159,0,"Uky身-ku","R high I","R high","Res",6888.029092,"Mid_Sub","Private area"
"65",-0.0864444259473487,-0.00285198223638279,165,0,"Nishiky身-ku","R high I","R high","Res",5895.896835,"Cen-Mid","Private area"
"66",0.0904552019917398,0.00781740144653733,171,0,"Uky身-ku","R high I","R high","Res",7191.421506,"Mid_Sub","Private area"
"67",-0.09684570266523,0.0578724378091855,176,0,"Fushimi-ku","R resi I","R resi","Res",5477.167693,"Cen-Mid","Private area"
"68",-0.0156262225392171,-0.0778096899651612,177,0.5,"Saky身-ku","R resi I","R resi","Res",2597.71179,"Center","Mix area"
